model,score,rating_q025,rating_q975,CI,avg_tokens,date
o1-mini-2024-09-12,91.98,90.86,93.12,"(-1.12, +1.14)",1399.0,2025-01-26
o1-preview-2024-09-12,90.38,89.48,91.61,"(-0.90, +1.23)",1193.0,2025-01-26
claude-3-5-sonnet-20241022,85.22,83.65,86.5,"(-1.57, +1.28)",691.0,2025-01-26
athene-v2-chat,85.04,83.31,86.39,"(-1.73, +1.35)",884.0,2025-01-26
llama-3.1-nemotron-70b-instruct,84.91,83.0,86.46,"(-1.91, +1.55)",869.0,2025-01-26
gpt-4-turbo-2024-04-09,82.63,81.13,84.08,"(-1.50, +1.45)",662.0,2025-01-26
yi-lightning,81.55,79.75,83.24,"(-1.80, +1.69)",875.0,2025-01-26
claude-3-5-sonnet-20240620,79.35,77.14,80.85,"(-2.21, +1.50)",567.0,2025-01-26
gpt-4o-2024-05-13,79.21,77.57,81.09,"(-1.64, +1.88)",696.0,2025-01-26
qwen2.5-72b-instruct,78.05,75.61,80.0,"(-2.44, +1.95)",821.0,2025-01-26
gpt-4-0125-preview,77.96,75.95,80.0,"(-2.01, +2.04)",619.0,2025-01-26
gpt-4o-2024-08-06,77.89,76.18,79.51,"(-1.71, +1.62)",594.0,2025-01-26
athene-70b-0725,76.83,74.78,78.73,"(-2.05, +1.90)",683.0,2025-01-26
gpt-4o-mini-2024-07-18,74.94,73.11,77.28,"(-1.83, +2.34)",668.0,2025-01-26
sky-T1-32B-Preview,74.79,72.37,76.78,"(-2.42, +1.99)",847.0,2025-01-26
gemini-1.5-pro-api-0514,71.96,70.18,73.9,"(-1.78, +1.94)",676.0,2025-01-26
yi-large-preview,71.48,69.53,73.91,"(-1.95, +2.43)",720.0,2025-01-26
mistral-large-2407,70.42,68.03,72.64,"(-2.39, +2.22)",623.0,2025-01-26
llama-3.1-405b-instruct-fp8,69.33,67.17,71.59,"(-2.16, +2.26)",658.0,2025-01-26
qwen2.5-32b-instruct,66.51,64.56,68.38,"(-1.95, +1.87)",611.0,2025-01-26
