model,score,rating_q025,rating_q975,CI,avg_tokens,date
claude-3-5-sonnet-20241022,87.04,85.56,88.13,"(-1.48, +1.09)",691.0,2025-01-27
claude-3-5-sonnet-20240620,82.85,81.12,84.81,"(-1.73, +1.96)",567.0,2025-01-27
o1-preview-2024-09-12,82.82,81.23,84.9,"(-1.59, +2.08)",1193.0,2025-01-27
o1-mini-2024-09-12,81.16,79.04,83.65,"(-2.12, +2.49)",1399.0,2025-01-27
gpt-4-turbo-2024-04-09,75.91,73.71,77.83,"(-2.20, +1.92)",662.0,2025-01-27
gpt-4-0125-preview,74.88,72.73,76.91,"(-2.15, +2.03)",619.0,2025-01-27
athene-v2-chat,74.17,71.58,76.04,"(-2.59, +1.87)",884.0,2025-01-27
llama-3.1-nemotron-70b-instruct,72.91,70.55,75.78,"(-2.36, +2.87)",869.0,2025-01-27
gpt-4o-2024-08-06,72.26,69.71,74.34,"(-2.55, +2.08)",594.0,2025-01-27
gpt-4o-2024-05-13,71.56,69.36,73.45,"(-2.20, +1.89)",696.0,2025-01-27
yi-lightning,69.31,66.93,71.65,"(-2.38, +2.34)",875.0,2025-01-27
athene-70b-0725,69.17,66.8,71.61,"(-2.37, +2.44)",683.0,2025-01-27
llama-3.1-405b-instruct-fp8,68.11,65.72,70.16,"(-2.39, +2.05)",658.0,2025-01-27
yi-large-preview,66.79,64.73,69.32,"(-2.06, +2.53)",720.0,2025-01-27
claude-3-opus-20240229,66.56,63.89,68.67,"(-2.67, +2.11)",541.0,2025-01-27
gpt-4o-mini-2024-07-18,65.95,63.43,68.61,"(-2.52, +2.66)",668.0,2025-01-27
qwen2.5-72b-instruct,65.6,62.98,68.42,"(-2.62, +2.82)",821.0,2025-01-27
mistral-large-2407,64.57,62.25,67.0,"(-2.32, +2.43)",623.0,2025-01-27
gemini-1.5-pro-api-0514,63.77,61.72,66.25,"(-2.05, +2.48)",676.0,2025-01-27
glm-4-0520,62.8,60.59,65.23,"(-2.21, +2.43)",636.0,2025-01-27
sky-T1-32B-Preview,62.54,59.74,64.94,"(-2.80, +2.40)",847.0,2025-01-27
qwen2.5-32b-instruct,61.92,59.27,64.28,"(-2.65, +2.36)",611.0,2025-01-27
llama-3.1-405b-instruct-fp8-no-sys-prompt,61.14,58.53,63.78,"(-2.61, +2.64)",635.0,2025-01-27
yi-large,60.95,58.41,63.39,"(-2.54, +2.44)",626.0,2025-01-27
deepseek-coder-v2,59.46,56.89,62.0,"(-2.57, +2.54)",578.0,2025-01-27
glm-4-0116,55.69,53.05,58.02,"(-2.64, +2.33)",622.0,2025-01-27
llama-3.1-70b-instruct,53.03,50.4,55.28,"(-2.63, +2.25)",628.0,2025-01-27
glm-4-air,51.92,49.2,53.88,"(-2.72, +1.96)",619.0,2025-01-27
claude-3-sonnet-20240229,51.0,48.57,53.92,"(-2.43, +2.92)",552.0,2025-01-27
qwen2-72b-instruct,50.66,48.43,53.33,"(-2.23, +2.67)",515.0,2025-01-27
sky-T1-32B-Preview-cot-8192-extracted-soln,50.05,47.03,52.49,"(-3.02, +2.44)",808.0,2025-01-27
gpt-4-0314,50.0,50.0,50.0,"(-0.00, +0.00)",423.0,2025-01-27
gpt-4-0613,49.79,46.57,52.56,"(-3.22, +2.77)",354.0,2025-01-27
